,ID,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
510,A_2550,Money Monster,65,R,Drama,Jodie Foster,Jamie Linden,41012075,2016-05-13,98,TriStar Pictures
511,A_2556,Snowden,73,R,Thriller,Oliver Stone,Kieran Fitzgerald,21587519,2016-09-16,134,Endgame Entertainment
512,A_2558,Aftermath,57,R,Drama,Elliott Lester,Javier Gullón,0,2017-04-07,94,Emmett/Furla/Oasis Films (EFO Films)
513,A_2558,Aftermath,57,R,Drama,Elliott Lester,Javier Gullón,0,2017-04-07,94,Emmett/Furla/Oasis Films (EFO Films)
514,A_2558,Aftermath,57,R,Drama,Elliott Lester,Javier Gullón,0,2017-04-07,94,Emmett/Furla/Oasis Films (EFO Films)
515,A_2565,Kickboxer: Retaliation,50,R,Drama,Dimitri Logothetis,Dimitri Logothetis,4537,2018-02-01,110,Our House Films
516,A_2568,Deepwater Horizon,72,PG-13,Thriller,Peter Berg,Matthew Michael Carnahan,61284947,2016-09-30,107,Summit Entertainment
517,A_2573,CHIPS,60,R,Comedy,Dax Shepard,Rick Rosner,18591819,2017-03-24,100,Primate Pictures
518,A_2576,Daddy's Home,61,PG-13,Comedy,Sean Anders,Brian Burns,150357137,2015-12-25,96,Paramount Pictures
519,A_2580,Ingrid Goes West,67,R,Comedy,Matt Spicer,David Branson Smith,3024308,2017-08-25,98,Mighty Engine
520,A_2581,Focus,66,R,Comedy,Glenn Ficarra,Glenn Ficarra,53862963,2015-02-27,105,Kramer & Sigman Films
521,A_2584,Grown Ups 2,54,PG-13,Comedy,Dennis Dugan,Fred Wolf,133668525,2013-07-12,101,Columbia Pictures
522,A_2585,Brad's Status,65,R,Comedy,Mike White,Mike White,2133158,2017-09-15,102,Amazon Studios
523,A_2590,Last Flag Flying,69,R,Comedy,Richard Linklater,Richard Linklater,965481,2017-11-03,125,Amazon Studios
524,A_2591,The Interview,66,R,Comedy,Evan Goldberg,Dan Sterling,6105175,2014-12-24,112,Columbia Pictures
525,A_2593,Burnt,66,R,Comedy,John Wells,Steven Knight,13650738,2015-10-30,101,3 Arts Entertainment
526,A_2600,War Dogs,71,R,Comedy,Todd Phillips,Stephen Chin,43017433,2016-08-19,114,BZ Entertainment
527,A_2608,Solace,64,R,Drama,Afonso Poyart,Sean Bailey,0,2016-12-16,101,Eden Rock Media
528,A_2624,Paper Towns,63,PG-13,Drama,Jake Schreier,Scott Neustadter,32000304,2015-07-24,109,Fox 2000 Pictures
529,A_2643,The Giver,65,PG-13,Drama,Phillip Noyce,Michael Mitnick,45089048,2014-08-15,97,Tonik Productions
530,A_2650,Hunt for the Wilderpeople,79,PG-13,Comedy,Taika Waititi,Taika Waititi,5202582,2016-03-31,101,Piki Films
531,A_2653,Gold,67,R,Drama,Stephen Gaghan,Patrick Massett,7222964,2017-01-27,120,Black Bear Pictures
532,A_2657,Vacation,61,R,Comedy,John Francis Daley,Jonathan Goldstein,58884188,2015-07-29,99,BenderSpink
533,A_2674,Fallen,55,PG-13,Fantasy,Scott Hicks,Michael Arlen Ross,0,2017-09-08,91,Apex Entertainment
534,A_2675,Night at the Museum: Secret of the Tomb,62,PG,Comedy,Shawn Levy,David Guion,113746621,2014-12-19,98,Twentieth Century Fox
535,A_2683,Still/Born,53,R,Thriller,Brandon Christensen,Brandon Christensen,0,2018-02-09,87,Digital Interference Productions
536,A_2685,Sharknado 5: Global Swarming,41,TV-14,Comedy,Anthony C. Ferrante,Thunder Levin,0,2017-08-06,93,"Asylum, The"
537,A_2687,Little Evil,57,TV-MA,Comedy,Eli Craig,Eli Craig,0,2017-09-01,94,Bluegrass Films
538,A_2691,Maggie,56,PG-13,Drama,Henry Hobson,John Scott 3,187112,2015-05-08,95,Lionsgate
539,A_2698,Victor Frankenstein,60,PG-13,Drama,Paul McGuigan,Max Landis,5775076,2015-11-25,110,Davis Entertainment
540,A_2699,The Human Centipede III (Final Sequence),28,NOT RATED,Comedy,Tom Six,Tom Six,0,2015-06-18,102,Six Entertainment Company
541,A_2702,Ouija,45,PG-13,Thriller,Stiles White,Juliet Snowden,50856010,2014-10-24,89,Universal Pictures
542,A_2705,Psychopaths,37,NOT RATED,Horror,Mickey Keating,Mickey Keating,0,2017-12-01,85,Glass Eye Pix
543,A_2742,Resident Evil: Vendetta,63,R,Adventure,Takanori Tsujimoto,Makoto Fukami,0,2017-05-27,97,Capcom Company
544,A_2758,Pete's Dragon,64,G,Comedy,Don Chaffey,Malcolm Marmorstein,40100000,1977-11-03,128,Walt Disney Productions
545,A_2877,Pete's Dragon,67,PG,Comedy,David Lowery,David Lowery,76204454,2016-08-12,102,Walt Disney Pictures
546,A_2760,Creed,76,PG-13,Sport,Ryan Coogler,Ryan Coogler,109767581,2015-11-25,133,Metro-Goldwyn-Mayer (MGM)
547,A_2763,Whiplash,85,R,Musical,Damien Chazelle,Damien Chazelle,13092000,2014-10-15,107,Bold Films
548,A_2777,Brimstone,71,R,Western,Martin Koolhoven,Martin Koolhoven,0,2017-01-12,148,N279 Entertainment
549,A_2784,Rush,81,R,Documentary,Ron Howard,Peter Morgan,26947624,2013-09-27,123,Exclusive Media Group
550,A_2788,Kick-Ass 2,66,R,Comedy,Jeff Wadlow,Jeff Wadlow,28795985,2013-08-16,103,Universal Pictures
551,A_2789,Lone Survivor,75,R,Documentary,Peter Berg,Peter Berg,125095601,2014-01-10,121,Film 44
552,A_2792,Barry,93,NOT RATED,Comedy,,Alec Berg,0,1900-1-1,30,Home Box Office (HBO)
