B_0001,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio 
B_0641,Trespass Against Us,56,R,Action & Adventure;Art House & International;Drama,Adam Smith,Alastair Siddons,NA,2017-01-20,99,Film4
B_0642,Silence,84,R,Drama,Martin Scorsese,Jay Cocks;Martin Scorsese,7063885,2017-01-13,161,Paramount Pictures
B_0643,Deidra & Laney Rob a Train,90,NOT RATED,Comedy,Sydney Freeland,Shelby Farrell,NA,2017-03-17,90,
B_0644,Bokeh,47,NOT RATED,Drama,Geoffrey Orthwein;Andrew Sullivan,Geoffrey Orthwein;Andrew Sullivan,NA,2017-03-24,104,Screen Media Films
B_0645,Burning Sands,87,NOT RATED,Drama,Gerard McMurray,Gerard McMurray;Christine Berg,NA,2017-03-10,96,
B_0646,The Most Hated Woman In America,44,NOT RATED,Drama,Tommy O'Haver,Irene Turner;Tommy O'Haver,NA,2017-03-24,91,
B_0647,Dig Two Graves,81,NOT RATED,Horror,Hunter Adams,Hunter Adams,NA,2017-03-24,85,Area 23a
B_0648,The Trouble with Terkel,40,NOT RATED,Animation;Comedy,Kresten Vestbjerg Andersen;ThorbjÃÂ¸rn Christoffersen;Stefan Fjeldmark;Randolph Kret,Mette Heeno;Randolph Kret,NA,2017-02-03,88,Indican Pictures
B_0649,Resistance (2011),60,NOT RATED,Art House & International;Drama;Mystery & Suspense,Amit Gupta,Amit Gupta;Owen Sheers,NA,NA,92,
B_0650,Beauty And The Beast (La belle et la bÃÂªte),33,PG-13,Mystery & Suspense;Science Fiction & Fantasy;Romance,Christophe Gans,Christophe Gans;Sandra Vo-Anh,NA,2016-09-23,112,
B_0651,Doctor Strange,89,PG-13,Action & Adventure;Science Fiction & Fantasy,Scott Derrickson,Thomas Dean Donnelly;Joshua Oppenheimer;Jon Spaihts;Scott Derrickson;C. Robert Cargill,232630718,2016-11-04,130,Walt Disney Pictures
B_0652,Moana,95,PG,Action & Adventure;Animation;Kids & Family,Ron Clements;John Musker;Chris Williams (IX);Don Hall,Jared Bush,248752120,2016-11-23,103,Walt Disney Pictures
B_0653,I Am Michael,64,NOT RATED,Drama,Justin Kelly,Justin Kelly;Stacey Miller;Benoit Denizet Lewis,NA,2017-01-27,102,
B_0654,Shut In,8,PG-13,Mystery & Suspense,Farren Blackburn,Christina Hodson,6883951,2016-11-11,91,EuropaCorp
B_0655,Marinoni: The Fire in the Frame,70,NOT RATED,Documentary,Tony Girardin,Tony Girardin,4696,2016-04-01,90,Tekno Hut
B_0656,Sound of Redemption: The Frank Morgan Story,100,NOT RATED,Documentary,N.C. Heikin,N.C. Heikin,NA,2015-12-02,84,Hieronymus Pictures
B_0657,The Brand New Testament (Le tout nouveau testament),84,NOT RATED,Comedy,Jaco Van Dormael,Jaco Van Dormael,89182,2016-12-09,112,Music Box Films
B_0658,Hacksaw Ridge,86,R,Action & Adventure;Drama,Mel Gibson,Andrew Knight;Robert Schenkkan,67115062,2016-11-04,139,Summit Entertainment
B_0659,Chronic,75,R,Drama,Michel Franco,Michel Franco,5207,2016-09-23,93,Lucia Films
B_0660,Man Down,17,R,Drama,Dito Montiel,Adam Simon;Dito Montiel,NA,2016-12-02,90,Krannel Pictures
B_0661,Tanna,91,NOT RATED,Art House & International;Drama;Romance,Bentley Dean;Martin Butler,Bentley Dean;Martin Butler;John Collee,NA,2016-09-16,104,Screen Australia
B_0662,Bad Santa 2,23,R,Comedy,Mark Waters (VIII),Johnny Rosenthal;Shauna Cross,17664973,2016-11-23,92,Miramax/Broad Green
B_0663,Jackie,88,R,Drama,Pablo LarraÃÂ­n,Noah Oppenheim,13958679,2016-12-02,95,
B_0664,The Eyes of My Mother,75,R,Drama;Horror,Nicolas Pesce,Nicolas Pesce,25981,2016-12-02,77,Magnet Releasing
B_0665,Incarnate,18,PG-13,Drama;Horror;Science Fiction & Fantasy,Brad Peyton,Ronnie Christensen,4848658,2016-12-02,NA,
B_0666,All We Had,42,NOT RATED,Drama,Katie Holmes,Josh Boone;Jill Killington,NA,2016-12-09,105,
B_0667,Allied,59,R,Action & Adventure;Drama;Romance,Robert Zemeckis,Steven Knight,40069087,2016-11-23,124,Paramount Pictures
B_0668,Lavender,33,NOT RATED,Drama;Mystery & Suspense,Ed Gass-Donnelly,Ed Gass-Donnelly;Colin Frizzell,NA,2017-03-03,92,AMBI Media Group and Samuel Goldwyn Films
B_0669,Rules Don't Apply,57,PG-13,Comedy;Drama;Romance,Warren Beatty,Warren Beatty;Bo Goldman,3647836,2016-11-23,NA,20th Century Fox
B_0670,Moonlight,98,R,Drama,Barry Jenkins (III),Barry Jenkins (III),27850910,2016-10-21,110,A24 Films
B_0671,Contract to Kill,0,R,Action & Adventure;Drama,Keoni Waxman,Keoni Waxman,NA,2016-12-09,90,
B_0672,The Red Pill,29,NOT RATED,Documentary,Cassie Jaye,NA,NA,2016-10-07,117,Jaye Bird Productions
B_0673,Creepy (Kuripi: Itsuwari no rinjin),95,NOT RATED,Drama,Kiyoshi Kurosawa,Kiyoshi Kurosawa,NA,2016-10-21,130,Shochiku Co. Ltd
B_0674,The Grace of Jake,80,NOT RATED,Drama,Chris Hicky,Chris Hicky,NA,2017-02-03,90,
B_0675,Drifter,44,NOT RATED,Horror;Mystery & Suspense,Chris von Hoffmann,Chris von Hoffmann;Aria Emory,NA,2017-02-24,86,Green Star Films
B_0676,100 Streets,42,NOT RATED,Drama,Jim O'Hanlon,Leon Butler,NA,2017-01-13,93,
B_0677,I don't feel at home in this world anymore.,88,NOT RATED,Drama;Mystery & Suspense,Macon Blair,Macon Blair,NA,2017-02-24,96,Film Science
B_0678,VooDoo,33,NOT RATED,Horror,Tom Costabile,Tom Costabile,NA,2017-02-24,84,
B_0679,The Institute,0,R,Drama;Horror,Pamela Romanowsky;James Franco,Adam Rager;Matt Rager,NA,2017-03-03,90,
B_0680,Blood On The Mountain,90,NOT RATED,Documentary,Mari-Lynn C. Evans;Jordan Freeman,Jordan Freeman;Mari-Lynn C. Evans;Matthew Sanchez;Deborah Wallace,3184,2016-11-18,71,Evening Star Productions
B_0681,Ha-shoter (Policeman),61,NOT RATED,Art House & International;Drama,Nadav Lapid,Nadav Lapid,NA,2014-06-13,105,Corinth Films
B_0682,Girlfriend's Day,20,NOT RATED,Comedy,Michael Paul Stephenson,Bob Odenkirk;Eric Hoffman;Philip Zlotorynski,NA,NA,70,
B_0683,The 9th Life of Louis Drax,39,R,Mystery & Suspense,Alexandre Aja,Max Minghella,NA,2016-09-02,90,Lionsgate's Summit Premiere and Miramax
B_0684,Bleed For This,70,R,Drama;Sports & Fitness,Ben Younger,Ben Younger,5051927,2016-11-18,116,Open Road Films
B_0685,Billy Lynn's Long Halftime Walk,45,R,Drama,Ang Lee,Jean-Christophe Castelli,1736708,2016-11-18,110,Sony Pictures
B_0686,Speed Sisters,91,NOT RATED,Documentary,Amber Fares,NA,2753,2017-02-10,80,SocDoc Studios
B_0687,Golden Kingdom,100,NOT RATED,Drama,Brian Perkins,Brian Perkins,8077,2016-06-17,104,
B_0688,Desierto,61,R,Action & Adventure;Drama;Mystery & Suspense,JonÃÂ¡s CuarÃÂ³n,JonÃÂ¡s CuarÃÂ³n;Mateo Garcia,1969105,2016-10-14,90,Itaca Films
B_0689,The Eagle Huntress,93,G,Documentary,Otto Bell,NA,3168664,2016-11-02,87,Kissiki Film
B_0690,Sophie and the Rising Sun,60,R,Drama,Maggie Greenwald,Maggie Greenwald,30348,2017-01-27,105,Monterey Media
B_0691,Manchester by the Sea,95,R,Drama,Kenneth Lonergan,Kenneth Lonergan,47695120,2016-12-16,135,Amazon Studios
B_0692,The Edge of Seventeen,95,R,Comedy;Drama,Kelly Fremon Craig,Kelly Fremon Craig,14260193,2016-11-18,98,STX Entertainment
B_0693,Hunter Gatherer,95,NOT RATED,Drama,Joshua Locy,Joshua Locy,NA,2016-11-16,85,Mama Bear Studios
B_0694,Loving,90,PG-13,Drama,Jeff Nichols,Jeff Nichols,7696098,2016-11-04,123,Big Beach Films
B_0695,King Cobra,45,NOT RATED,Drama,Justin Kelly,Justin Kelly;Iris Torres,70569,2016-10-21,91,
B_0696,Nerdland,27,NOT RATED,Drama,Chris Prynoski,Andrew Kevin Walker,NA,NA,85,AKW Worldwide
B_0697,Almost Christmas,51,PG-13,Comedy,David E. Talbert,David E. Talbert,41715860,2016-11-11,120,Will Packer Productions
B_0698,Left on Purpose,88,NOT RATED,Documentary;Drama,Justin Schein;David Mehlman,NA,NA,2017-02-10,84,Shadowbox Films
B_0699,Come What May,42,NOT RATED,Drama,Christian Carion,Andrew Bampfield;Christian Carion;Laure Irmann,33275,2016-09-09,114,
B_0700,Nocturnal Animals,73,R,Drama;Mystery & Suspense,Tom Ford (VIII),Tom Ford (VIII),10639114,2016-12-09,115,
B_0701,Abattoir,32,R,Horror,Darren Lynn Bousman,Christopher Monfette,NA,2016-12-09,98,Dark Web Productions
B_0702,Arrival,94,PG-13,Drama;Mystery & Suspense;Science Fiction & Fantasy,Denis Villeneuve,Eric Heisserer,100501349,2016-11-11,116,21 Laps Entertainment
B_0703,Spin Out,13,R,Comedy;Romance,Tim Ferguson;Marc Gracie,Tim Ferguson;Edwina Exton;Edwina Exton,NA,NA,92,
B_0704,Seasons (Les saisons),96,PG,Documentary,Jacques Cluzaud;Jacques Perrin,Jacques Cluzaud;Jacques Perrin;StÃÂ©phane Durand,119091,2016-11-25,95,Music Box Films
B_0705,Justice League Dark,71,R,Action & Adventure;Animation;Science Fiction & Fantasy,Jay Oliva,Ernie Altbacker;J.M. DeMatteis,NA,NA,66,
B_0706,In Dubious Battle,32,R,Drama,James Franco,Matt Rager,NA,2017-02-17,110,Momentum Pictures
B_0707,Burn Country,60,NOT RATED,Drama,Ian Olds,Ian Olds;Paul Felten,NA,2016-12-09,102,ACE Productions
B_0708,1 Night (One Night),20,NOT RATED,Drama;Romance,Minhal Baig,Minhal Baig,NA,2017-02-10,80,
B_0709,Sex Doll,0,NOT RATED,Drama;Mystery & Suspense,Sylvie Verheyde,Sylvie Verheyde,NA,2017-02-10,104,
B_0710,Eagles of Death Metal: Nos Amis (Our Friends),100,NOT RATED,Documentary,Colin Hanks,NA,NA,2017-02-10,84,
B_0711,Human Flow,92,PG-13,Documentary,Ai Weiwei,NA,446438,2017-10-13,140,Amazon Studios and Participant Media
B_0712,American Pastoral,22,R,Drama,Ewan McGregor,John Romano,541457,2016-10-21,126,Lakeshore Entertainment
B_0713,Trolls,73,PG,Animation;Kids & Family,Walt Dohrn;Mike Mitchell (VI),Jonathan Aibel;Glenn Berger,153694574,2016-11-04,100,DreamWorks Animation
B_0714,Masterminds,34,PG-13,Comedy,Jared Hess,Chris Bowman;Hubbel Palmer;Emily Spivey,17356894,2016-09-30,90,Relativity Media
B_0715,Inferno,22,PG-13,Action & Adventure;Drama;Mystery & Suspense,Ron Howard,David Koepp,34307024,2016-10-28,121,Sony Pictures
B_0716,The Light Between Oceans,59,PG-13,Drama;Romance,Derek Cianfrance,Derek Cianfrance,12533911,2016-09-02,132,
B_0717,Imperial Dreams,91,NOT RATED,Drama,Malik Vitthal,Malik Vitthal;Ismet Prcic,NA,NA,87,
B_0718,Jack Reacher: Never Go Back,37,PG-13,Action & Adventure;Drama,Edward Zwick,Richard Wenk;Edward Zwick;Marshall Herskovitz,58676235,2016-10-21,118,Paramount Pictures
B_0719,The Hollow Point,31,R,Drama,Gonzalo LÃÂ³pez-Gallego,Nils Lyew,NA,2016-12-16,97,
B_0720,Keeping Up With The Joneses,20,PG-13,Comedy,Greg Mottola,Mike LeSieur,14896798,2016-10-21,101,20th Century Fox
B_0721,Ouija: Origin of Evil,82,PG-13,Horror;Mystery & Suspense,Mike Flanagan,Mike Flanagan;Jeff Howard,34904885,2016-10-21,99,Universal Pictures
B_0722,USS Indianapolis: Men of Courage,9,R,Action & Adventure;Drama,Mario Van Peebles,Cam Cannon;Richard Rionda del Castro,NA,2016-11-11,135,
B_0723,Antarctica: Ice & Sky (La glace et le ciel),89,NOT RATED,Art House & International;Documentary,Luc Jacquet,Luc Jacquet,NA,2017-01-20,89,Music Box Films
B_0724,Reset (RelÃÂ¨ve: Histoire d'une crÃÂ©ation),71,NOT RATED,Documentary,Thierry DemaiziÃÂ¨re;Alban Teurlai,NA,5409,2017-01-13,80,
B_0725,A Month Of Sundays,63,PG-13,Art House & International;Comedy,Matthew Saville,Matthew Saville,NA,NA,116,
B_0726,The Girl on the Train,44,R,Drama;Mystery & Suspense,Tate Taylor,Erin Cressida Wilson,75311445,2016-10-07,112,
B_0727,The Whole Truth,29,R,Drama;Mystery & Suspense,Courtney Hunt,Rafael Jackson,NA,2016-10-21,93,PalmStar Media
B_0728,Wonderstruck,69,PG,Drama,Todd Haynes,Brian Selznick,976561,2017-10-20,117,Amazon Studios and Roadside Attractions
B_0729,Jim: The James Foley Story,91,NOT RATED,Documentary,Brian Oakes,Brian Oakes;Christopher Chuang;Heather MacDonald,NA,2016-01-29,100,
B_0730,Tyler Perry's Boo! A Madea Halloween,23,PG-13,Comedy;Drama;Horror,Tyler Perry,Tyler Perry,73159525,2016-10-21,103,Lionsgate
B_0731,Claire in Motion,60,NOT RATED,Drama,Annie J. Howell;Lisa Robinson,Annie J. Howell;Lisa Robinson,NA,2017-01-13,80,Breaking Glass Pictures
B_0732,"My Father, Die",69,NOT RATED,Action & Adventure;Drama,Sean Brenden Brosnan,Sean Brenden Brosnan,3229,2017-01-20,90,KnightMarcher
B_0733,The Anthropologist,100,NOT RATED,Documentary,Daniel A. Miller;Jeremy Newberger;Seth Kramer,Daniel A. Miller,NA,2016-11-11,78,Ironbound Films
B_0734,Gimme Danger,95,R,Documentary,Jim Jarmusch,Jim Jarmusch,439748,2016-10-28,108,Low Mind Films
B_0735,Long Way North (Tout en haut du monde),96,PG,Action & Adventure;Animation;Art House & International,RÃÂ©mi ChayÃÂ©,Patricia Valeix;Fabrice De Costil,NA,2016-09-30,81,NA
B_0736,Dr. Feelgood: Dealer or Healer?,83,NOT RATED,Documentary,Eve Marson,David Boodell;Sara Goldblatt;Eve Marson;Mark Monroe,NA,2016-12-30,84,Diamond Docs
B_0737,The Monster,80,R,Drama;Horror,Bryan Bertino,Bryan Bertino,12133,2016-11-11,91,
B_0738,Attack of the Lederhosen Zombies,50,NOT RATED,Comedy;Horror,Dominik Hartl,Dominik Hartl;Armin Prediger,NA,2017-01-13,78,
B_0739,Roger Corman's Death Race 2050,100,R,Action & Adventure,G.J. Echternkamp,G.J. Echternkamp;Matt Yamashita,NA,NA,90,
B_0740,Come And Find Me,60,R,Drama,Zack Whedon,Zack Whedon,NA,2016-11-11,112,
B_0741,Eloise,0,R,Horror,Robert Legato,Christopher Borrelli,NA,2017-02-03,89,
B_0742,iBoy,60,NOT RATED,Action & Adventure;Drama;Mystery & Suspense;Science Fiction & Fantasy,Adam Randall (II),Joe Barton (VIII);Mark Denton;Jonny Stockwood,NA,2017-01-27,91,
B_0743,What Alice Found (2003),68,R,Drama,A. Dean Bell,A. Dean Bell,NA,2003-12-05,96,Castle Hill Productions
B_0744,The Dressmaker,54,R,Drama,Jocelyn Moorhouse,Jocelyn Moorhouse;P.J. Hogan,2021399,2016-09-23,118,Amazon Studios & Broad Green Pictures
B_0745,Miss Peregrine's Home for Peculiar Children,63,PG-13,Kids & Family;Science Fiction & Fantasy,Tim Burton,Jane Goldman,87240689,2016-09-30,127,20th Century Fox
B_0746,Ben-Hur,25,PG-13,Classics;Drama,Timur Bekmambetov,John Ridley;Keith R. Clarke,26384681,2016-08-19,124,Paramount Pictures
B_0747,Hillsong - Let Hope Rise,60,PG,Documentary;Kids & Family,Michael John Warren,NA,2379745,2016-09-16,103,PureFlix
B_0748,Max Steel,0,PG-13,Action & Adventure;Comedy;Science Fiction & Fantasy,Stewart Hendler,Christopher Yost,3771397,2016-10-14,100,Open Road Films
B_0749,The Disappointments Room,0,R,Horror;Mystery & Suspense,D.J. Caruso,Wentworth Miller;D.J. Caruso,2411580,2016-09-09,100,Relativity Studios
B_0750,Deepwater Horizon,83,PG-13,Action & Adventure;Drama,Peter Berg,Matthew Michael Carnahan;Matthew Sand,73098411,2016-09-30,99,Lionsgate
B_0751,Suicide Squad,26,PG-13,Action & Adventure,David Ayer,David Ayer,325021779,2016-08-05,123,Warner Bros. Pictures
B_0752,The Magnificent Seven,63,PG-13,Action & Adventure;Drama;Western,Antoine Fuqua,Nic Pizzolatto;Richard Wenk,93381044,2016-09-23,132,
B_0753,Snowden,61,R,Drama,Oliver Stone,Kieran Fitzgerald;Oliver Stone,21562346,2016-09-16,134,Open Road Films
B_0754,When the Bough Breaks,11,PG-13,Drama;Horror,Jon Cassar,Jack Olsen,29740655,2016-09-09,93,Sony Pictures
B_0755,Storks,63,PG,Animation;Comedy;Kids & Family,Nicholas Stoller;Doug Sweetland,Nicholas Stoller,72655779,2016-09-23,87,Warner Bros. Pictures
B_0756,Kevin Hart: What Now?,78,R,Comedy,Leslie Small;Tim Story,Kevin Hart;Joey Wells;Harry Ratchford,23564630,2016-10-14,96,Universal Pictures
B_0757,The Accountant,52,R,Drama,Gavin O'Connor,Bill Dubuque,86198014,2016-10-14,128,Warner Bros. Pictures
B_0758,Sully,86,PG-13,Action & Adventure;Drama,Clint Eastwood,Todd Komarnicki,125065700,2016-09-09,96,Warner Bros.
B_0759,Hitchcock/Truffaut,96,PG-13,Documentary,Kent Jones,Kent Jones;Serge Toubiana,304899,2015-12-02,80,
B_0760,Closet Monster,80,NOT RATED,Drama,Stephen Dunn,Stephen Dunn,41866,2016-09-23,90,
B_0761,Denial,83,PG-13,Drama,Mick Jackson,David Hare,4060197,2016-09-30,110,Participant Media
B_0762,Middle School: The Worst Years of My Life,58,PG,Comedy,Steve Carr,Chris Bowman;Kara Holden;Hubbel Palmer,19985196,2016-10-07,92,James Patterson Entertainment
B_0763,31,50,R,Horror,Rob Zombie,Rob Zombie,779820,2016-10-21,103,
B_0764,The Birth of a Nation,72,R,Drama,Nate Parker,Nate Parker;Jean McGianni Celestin,15849340,2016-10-07,119,
B_0765,Equity,82,R,Drama,Meera Menon,Amy Fox;Alysia Reiner;Sarah Megan Thomas,1605197,2016-07-29,100,
B_0766,Little Men,96,PG,Drama,Ira Sachs,Ira Sachs;Mauricio Zacharias,702191,2016-08-05,85,Race Point Films
B_0767,The Monkey King 2 (San Da Bai Gu Jing),100,NOT RATED,Action & Adventure;Art House & International;Science Fiction & Fantasy,NA,NA,709617,2014-01-25,120,
B_0768,American Honey,79,R,Drama,Andrea Arnold,Andrea Arnold,662786,2016-09-30,162,Parts and Labor
B_0769,A Man Called Ove (En man som heter Ove),91,PG-13,Art House & International;Comedy;Drama,Hannes Holm,Hannes Holm,3358518,2016-09-30,116,Tre VÃÂ¤nner Produktion AB
B_0770,In a Valley of Violence,77,R,Action & Adventure;Western,Ti West,Ti West,50381,2016-10-21,104,Blumhouse Productions
B_0771,Blair Witch,35,R,Horror,Adam Wingard,Simon Barrett,20747013,2016-09-16,89,Vertigo Entertainment
B_0772,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,100,NOT RATED,Documentary,Alexis Bloom,NA,NA,2017-01-07,95,
B_0773,Dog Eat Dog,47,NOT RATED,Action & Adventure;Mystery & Suspense,Paul Schrader,Matthew Wilder,NA,2016-11-04,95,
B_0774,Barry,81,NOT RATED,Drama,Vikram Gandhi,Adam Mansbach,NA,2016-12-16,104,Netflix
B_0775,Phantasm: Remastered,71,R,Horror;Science Fiction & Fantasy,Don Coscarelli,Don Coscarelli,NA,2016-10-07,88,
B_0776,Fake It So Real,91,NOT RATED,Documentary;Special Interest,Robert Greene,NA,NA,2012-01-13,85,Factory 25
B_0777,The Secret Life of Pets,75,PG,Animation;Comedy,Yarrow Cheney;Chris Renaud,Cinco Paul;Ken Daurio;Brian Lynch,368305960,2016-07-08,90,Universal Pictures
B_0778,Phantasm: Ravager,54,NOT RATED,Horror,David Hartman,Don Coscarelli;David Hartman,NA,2016-10-07,100,Well Go USA Entertainment
B_0779,The Frontier,40,NOT RATED,Drama;Mystery & Suspense,Oren Shai,Oren Shai;Webb Wilcoxen,NA,2016-10-28,88,Rocking Films
B_0780,The BFG,75,PG,Kids & Family;Science Fiction & Fantasy,Steven Spielberg,Melissa Mathison,55472665,2016-07-01,115,Walt Disney Pictures
B_0781,Jason Bourne,55,PG-13,Action & Adventure;Drama,Paul Greengrass,Paul Greengrass;Christopher Rouse,162162120,2016-07-29,123,Universal
B_0782,Don't Breathe,87,R,Horror;Mystery & Suspense,Fede Alvarez,Fede Alvarez;Rodo Sayagues,89210468,2016-08-26,88,Ghost House Pictures
B_0783,Sugar Mountain,36,NOT RATED,Drama;Mystery & Suspense,Richard Gray,Abe Pogos,NA,2016-12-09,106,
B_0784,Pete's Dragon,87,PG,Kids & Family,David Lowery,David Lowery;Toby Halbrooks;Malcolm Marmorstein,76228119,2016-08-12,90,Walt Disney Pictures
B_0785,The Hollars,44,PG-13,Comedy;Drama;Kids & Family,John Krasinski,James C. Strouse,1016965,2016-08-26,88,Sony Pictures Classics
B_0786,For the Love of Spock,100,NOT RATED,Documentary,Adam Nimoy,NA,NA,2016-09-09,111,Gravitas Ventures
B_0787,SiREN,71,NOT RATED,Horror;Mystery & Suspense,Gregg Bishop,Luke Piotrowski;Ben Collins,NA,2016-12-02,120,Chiller Films
B_0788,The Great Gilly Hopkins,65,PG,Comedy;Drama,Stephen Herek,David Paterson (IV),NA,2016-10-07,97,
B_0789,Oddball and the Penguins (Oddball),86,NOT RATED,Action & Adventure;Art House & International;Kids & Family,Stuart McDonald,Peter Ivan,6709509,NA,NA,
B_0790,Attack On Titan: Part 2 (Shingeki no kyojin endo obu za warudo),57,NOT RATED,Action & Adventure;Drama;Horror;Science Fiction & Fantasy,Shinji Higuchi,Yusuke Watanabe;Tomohiro Machiyama,NA,2015-10-20,88,
B_0791,Mavis!,97,NOT RATED,Documentary,Jessica Edwards,Jessica Edwards,NA,2016-02-19,80,Film First Co.
B_0792,Absolutely Fabulous: The Movie,59,R,Comedy,Mandie Fletcher,Jennifer Saunders,4750497,2016-07-22,86,DJ Films
B_0793,The Wild Life,16,PG,Action & Adventure;Animation;Comedy,Vincent Kesteloot,Lee Christopher;Domonic Paris;Graham Welldon,7965609,2016-09-09,90,StudioCanal
B_0794,Florence Foster Jenkins,87,PG-13,Comedy;Drama;Musical & Performing Arts,Stephen Frears,Nicholas Martin,27370107,2016-08-12,110,
B_0795,Don't Think Twice,98,R,Comedy,Mike Birbiglia,Mike Birbiglia,4417983,2016-07-22,92,The Film Arcade
B_0796,Slash,94,NOT RATED,Comedy,Clay Liford,Clay Liford,NA,2016-12-09,100,Arts + Labor
B_0797,Harry Benson: Shoot First,88,NOT RATED,Documentary,Justin Bare;Matthew Miele,Justin Bare;Matthew Miele,17839,2016-12-09,87,Quixotic Endeavors
B_0798,Morgan,38,R,Drama;Horror;Science Fiction & Fantasy,Luke Scott,Seth W. Owen,3912052,2016-09-02,92,Scott Free Films
B_0799,I.T.,10,NOT RATED,Art House & International;Drama;Mystery & Suspense,John Moore (V),Daniel Kay;William Wisher Jr.,NA,2016-09-23,95,Voltage Pictures
B_0800,Ordinary World,53,NOT RATED,Comedy;Drama;Musical & Performing Arts,Lee Kirk,Lee Kirk,NA,2016-10-14,87,
B_0801,Esteros,100,NOT RATED,Drama;Romance,Papu Curotto,Andi Nachon,NA,2016-11-18,82,
B_0802,I Am Bolt,85,PG,Documentary,Benjamin Turner;Gabe Turner,NA,NA,NA,88,
B_0803,Run the Tide,11,PG-13,Drama,Soham Mehta,Rajiv Shah (II),NA,2016-12-02,100,
B_0804,Jianyu (Reign of Assassins)2010,70,R,Action & Adventure,John Woo;Chao-Bin Su;Su Chao-pin,Chao-Bin Su;Su Chao-pin,NA,2010-12-31,117,The Weinstein Company
B_0805,The Lost Bladesman (Guan yun chang)2011,57,NOT RATED,Action & Adventure;Art House & International,Alan Mak;Felix Chong,Alan Mak;Felix Chong,NA,NA,109,
B_0806,Almayer's Folly,83,NOT RATED,Drama,Chantal Akerman,Chantal Akerman,NA,2012-08-10,127,
B_0807,Finding Dory,94,PG,Animation,Andrew Stanton;Angus MacLane,Andrew Stanton;Victoria Strouse,486292984,2016-06-17,100,Walt Disney Pictures/PIXAR
B_0808,Sausage Party,82,R,Animation;Comedy,Conrad Vernon;Greg Tiernan,Kyle Hunter;Ariel Shaffir;Seth Rogen;Evan Goldberg,97661826,2016-08-12,89,Sony Pictures
B_0809,Fort Tilden,87,R,Comedy,Charles Rogers;Sarah-Violet Bliss,Sarah-Violet Bliss;Charles Rogers,NA,2015-08-14,95,Orion Releasing LLC.
B_0810,Yoga Hosers,19,PG-13,Action & Adventure;Comedy,Kevin Smith,Kevin Smith,NA,2016-09-02,88,
B_0811,Kubo and the Two Strings,97,PG,Action & Adventure;Animation;Science Fiction & Fantasy,Travis Knight (II),Marc Haimes;Chris Butler,48019281,2016-08-19,101,Focus Features
B_0812,Deep Web,82,NOT RATED,Documentary,Alex Winter,Alex Winter,NA,2015-03-15,90,EPIX
B_0813,Mia Madre,87,R,Art House & International;Comedy;Drama,NA,NA,301664,2016-08-26,107,Music Box Films
B_0814,The Sea of Trees,11,PG-13,Drama,Gus Van Sant,Chris Sparling,20083,2016-08-26,110,
B_0815,Uncle Kent 2,70,NOT RATED,Comedy,Todd Rohal,Kent Osborne,NA,2016-11-11,73,
B_0816,War Dogs,59,R,Comedy;Drama,Todd Phillips,Stephen Chin;Jason Smilovic;Todd Phillips,43017433,2016-08-19,114,Warner Bros. Pictures
B_0817,Our Little Sister (Umimachi Diary),93,PG,Drama,Hirokazu Koreeda,Hirokazu Koreeda,466986,2016-07-08,128,Sony Pictures Classics
B_0818,The Similars (Los Parecidos),95,NOT RATED,Art House & International;Science Fiction & Fantasy,Isaac Ezban,Isaac Ezban,NA,2016-11-15,89,
B_0819,Christmas Eve,0,PG,Comedy,Mitch Davis,Mitch Davis,81992,2015-12-04,95,Unstuck
B_0820,Indignation,82,R,Drama,James Schamus,James Schamus,3399841,2016-07-29,110,Likely Story
B_0821,Bad Moms,58,R,Comedy,Jon Lucas;Scott Moore,Jon Lucas;Scott Moore,113217955,2016-07-29,101,Block Entertainment
B_0822,Hands of Stone,45,R,Action & Adventure;Drama,Jonathan Jakubowicz,Jonathan Jakubowicz,4711216,2016-08-26,105,
B_0823,Kickboxer: Vengeance,43,NOT RATED,Action & Adventure;Drama,John Stockwell;Samuel Cory Timpson,Dimitri Logothetis;Jim McGrath,NA,2016-09-02,90,Headmon Entertainment & Productions
B_0824,The True Memoirs of an International Assassin,0,NOT RATED,Action & Adventure;Comedy,Jeff Wadlow,Jeff Wadlow;Jeff Morris,NA,2016-11-11,98,
B_0825,Hell or High Water,97,R,Drama;Mystery & Suspense,David Mackenzie,Taylor Sheridan,26973524,2016-08-12,102,Film 44
B_0826,Divines,81,NOT RATED,Drama,NA,Romain Compingt;Malik Rumeau,NA,2016-11-18,105,
B_0827,Cardboard Boxer,38,NOT RATED,Drama,Knate Gwaltney,Knate Gwaltney,NA,2016-09-16,88,
B_0828,Operator,100,NOT RATED,Comedy;Drama,Logan Kibens,Logan Kibens;Sharon Greene,NA,2016-11-08,87,
B_0829,Life on the Line,0,R,Action & Adventure;Drama,David Hackl,Primo Brown;Peter I. Horton;Marvin Peart,NA,2016-11-18,98,
B_0830,My Dead Boyfriend,0,R,Comedy,Anthony Edwards,Billy Morrissette,NA,2016-11-04,125,NA
B_0831,The Ivory Game,80,NOT RATED,Documentary,Richard Ladkani;Kief Davidson,NA,NA,NA,112,
B_0832,Army of One,27,R,Comedy,Larry Charles,Rajiv Joseph;Scott Rothman,NA,2016-11-04,92,
