B_0001,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
B_0046,The Chamber,36,NOT RATED,Art House & International;Mystery & Suspense,Ben Parker,Ben Parker,NA,2018-02-23,87,
B_0047,The Young Karl Marx (Le jeune Karl Marx),55,NOT RATED,Art House & International;Drama,Raoul Peck,Raoul Peck;Pascal Bonitzer,58277,2018-02-23,118,
B_0048,Dance Academy: The Comeback,100,NOT RATED,Drama,Jeffrey Walker,NA,NA,2018-03-02,90,
B_0049,Like Me,71,NOT RATED,Drama;Horror;Mystery & Suspense,Robert Mockler,Robert Mockler,NA,2018-01-26,80,
B_0050,Mute,13,NOT RATED,Action & Adventure;Drama;Science Fiction & Fantasy,Duncan Jones,Duncan Jones;Michael Robert Johnson,NA,2018-02-23,126,
B_0051,The Clapper,30,R,Comedy;Romance,Dito Montiel,Dito Montiel,NA,2018-01-26,89,
B_0052,My Friend Dahmer,83,R,Drama,Marc Meyers,Marc Meyers,1306946,2017-11-03,107,
B_0053,Hondros,100,NOT RATED,Documentary,Greg Campbell,Greg Campbell,NA,2018-03-02,93,Entertainment Studios Motion Pictures
B_0054,The Man Who Invented Christmas,80,PG,Comedy;Drama,Bharat Nalluri,Susan Coyne,5652908,2017-11-22,104,Bleecker Street
B_0055,"Faces Places (Visages, villages)",99,PG,Art House & International;Documentary,JR;AgnÃÂ¨s Varda,NA,900903,2017-10-06,90,Cohen Media Group
B_0056,Midnighters,88,NOT RATED,Drama;Mystery & Suspense,Julius Ramsay,Alston Ramsay,NA,2018-03-02,94,IFC Films
B_0057,Scorched Earth,11,R,Action & Adventure;Science Fiction & Fantasy,Peter Howitt,Kevin Leeson;Bobby Mort,NA,2018-02-02,93,
B_0058,Mohawk,83,NOT RATED,Action & Adventure;Drama,Ted Geoghegan,Ted Geoghegan;Grady Hendrix,NA,2018-03-02,92,Dark Sky Films
B_0059,Ravenous (Les affamÃÂ©s),92,NOT RATED,Horror,Robin Aubert,Robin Aubert,NA,2018-03-02,100,
B_0060,Let There Be Light,50,PG-13,Drama,Kevin Sorbo,Dan Gordon;Sam Sorbo,7212728,2017-10-27,100,Atlas Distribution
B_0061,Hangman,6,R,Drama;Mystery & Suspense,Johnny Martin,Michael Caissie;Charles Huttinger;Phil Hawkins,NA,2017-12-22,98,
B_0062,Curvature,0,NOT RATED,Drama;Mystery & Suspense;Science Fiction & Fantasy,Diego Hallivis,Brian DeLeeuw,NA,2018-02-23,89,Screen Media Films
B_0063,Survivors Guide to Prison,100,NOT RATED,Documentary,Matthew Cooke,Matthew Cooke,NA,2018-02-23,102,
B_0064,The Lullaby,56,NOT RATED,Horror,Darrell James Roodt,Tarryn-Tanille Prinsloo,NA,2018-03-02,96,
B_0065,7 Guardians of the Tomb,0,NOT RATED,Action & Adventure,Kimble Rendall,Kimble Rendall;Paul Staheli,NA,2018-02-23,90,
B_0066,Dealt,95,NOT RATED,Documentary;Special Interest,Luke Korem,Bradley Jackson;Luke Korem,30414,2017-10-20,86,IFC Films
