ltable_ID,ltable_Title,rtable_ID,rtable_Title
A_2685,Sharknado 5: Global Swarming,B_0319,Sharknado 5: Global Swarming
A_2687,Little Evil,B_0394,Little Evil
A_2689,Poltergeist,B_1489,Poltergeist
A_2691,Maggie,B_1647,Maggie
A_2698,Victor Frankenstein,B_1182,Victor Frankenstein
A_2699,The Human Centipede III (Final Sequence),B_1430,The Human Centipede III (Final Sequence)
A_2702,Ouija,B_2001,Ouija
A_2705,Psychopaths,B_0169,Psychopaths
A_2724,Justice League,B_0001,Justice League
A_2727,Deadpool,B_1092,Deadpool
A_2742,Resident Evil: Vendetta,B_0455,Resident Evil: Vendetta
A_2758,Pete's Dragon,B_0783,Pete's Dragon
A_2760,Creed,B_1218,Creed
A_2763,Whiplash,B_1936,Whiplash
A_2777,Brimstone,B_0603,Brimstone
A_2784,Rush,B_2799,Rush
A_2785,Point Break,B_1145,Point Break
A_2788,Kick-Ass 2,B_2899,Kick-Ass 2
A_2789,Lone Survivor,B_2518,Lone Survivor
A_2792,Barry,B_0773,Barry
A_2796,Trainwreck,B_1402,Trainwreck
A_2806,Zoolander 2,B_1097,Zoolander 2
A_2809,The Intern,B_1277,The Intern
A_2810,The Edge of Seventeen,B_0691,The Edge of Seventeen
A_2812,Me and Earl and the Dying Girl,B_1483,Me and Earl and the Dying Girl
A_2819,"Love, Rosie",B_1767,"Love, Rosie"
A_2821,Sex Tape,B_2202,Sex Tape
A_2833,Unforgettable,B_0439,Unforgettable
A_2839,Winter's Tale,B_2493,Winter's Tale
A_2842,The Best Offer,B_2604,The Best Offer
A_2850,Lost River,B_1797,Lost River
A_2860,RoboCop,B_2506,RoboCop
A_2866,Riddick,B_2826,Riddick
A_2871,Survivor,B_1704,Survivor
A_2873,Wild,B_1864,Wild
A_2877,Pete's Dragon,B_0783,Pete's Dragon
A_2881,R.I.P.D.,B_2979,R.I.P.D.
A_2886,Fantastic Four,B_1336,Fantastic Four
A_2892,The Last Witch Hunter,B_1249,The Last Witch Hunter
A_2923,The Quiet Ones,B_2358,The Quiet Ones
A_2925,"I, Frankenstein",B_2566,"I, Frankenstein"
A_2932,Shut In,B_0653,Shut In
A_2935,Friend Request,B_0127,Friend Request
A_2939,I Am the Pretty Thing That Lives in the House,B_0860,I Am the Pretty Thing That Lives in the House
A_2941,Home,B_1610,Home
A_2941,Home,B_2689,Home
A_2944,The Nut Job,B_2613,The Nut Job
A_2947,Rock Dog,B_0543,Rock Dog
A_2986,Teenage Mutant Ninja Turtles,B_2071,Teenage Mutant Ninja Turtles
A_2991,Churchill,B_0318,Churchill
A_2994,12 Years a Slave,B_2735,12 Years a Slave
A_2997,45 Years,B_1058,45 Years
A_3000,Spotlight,B_1229,Spotlight
A_3005,Bridge of Spies,B_1245,Bridge of Spies
A_3012,Keanu,B_0973,Keanu
A_3038,Half Magic,B_0044,Half Magic
A_3044,The Meyerowitz Stories (New and Selected),B_0276,The Meyerowitz Stories (New and Selected)
A_3047,The Captive,B_1941,The Captive
A_3051,Marauders,B_0920,Marauders
A_3054,Non-Stop,B_2507,Non-Stop
A_3055,Dark Places,B_1461,Dark Places
A_3060,A Walk Among the Tombstones,B_2054,A Walk Among the Tombstones
A_3073,Regression,B_1086,Regression
A_3079,Teenage Mutant Ninja Turtles,B_2071,Teenage Mutant Ninja Turtles
A_3086,Hardcore Henry,B_0981,Hardcore Henry
A_3089,Radius,B_0261,Radius
A_3092,Prodigy,B_0032,Prodigy
A_3119,Love the Coopers,B_1261,Love the Coopers
A_3140,The Lazarus Effect,B_1686,The Lazarus Effect
A_3143,Krampus,B_1119,Krampus
A_3148,The Crucifixion,B_0196,The Crucifixion
A_3159,The Devil's Candy,B_0337,The Devil's Candy
A_3162,Yoga Hosers,B_0809,Yoga Hosers
A_3166,Open Water 3: Cage Dive,B_0323,Open Water 3: Cage Dive
A_3168,The Voices,B_1866,The Voices
A_3180,Teenage Mutant Ninja Turtles,B_2071,Teenage Mutant Ninja Turtles
A_3186,Tarzan,B_1984,Tarzan
A_3200,Shaun the Sheep Movie,B_1367,Shaun the Sheep Movie
A_3214,Strange Magic,B_1753,Strange Magic
A_3225,Manchester by the Sea,B_0690,Manchester by the Sea
A_3230,Lion,B_0596,Lion
A_3231,The Notebook,B_2088,The Notebook
A_3233,Gifted,B_0432,Gifted
A_3235,Breathe,B_0153,Breathe
A_3235,Breathe,B_1247,Breathe
A_3237,American Hustle,B_2680,American Hustle
A_3240,The Neighbor,B_0924,The Neighbor
A_3245,Miss Sloane,B_0628,Miss Sloane
