ltable_ID,ltable_Title,rtable_ID,rtable_Title
A_1264,Guardians of the Galaxy,B_2110,Guardians of the Galaxy
A_1275,Ghost in the Shell,B_0430,Ghost in the Shell
A_1310,The SpongeBob Movie: Sponge Out of Water,B_1712,The SpongeBob Movie: Sponge Out of Water
A_1320,Fifty Shades Darker,B_0526,Fifty Shades Darker
A_1322,Detroit,B_0184,Detroit
A_1324,The Imitation Game,B_1867,The Imitation Game
A_1332,Hell or High Water,B_0824,Hell or High Water
A_1338,American Sniper,B_1734,American Sniper
A_1339,Baywatch,B_0369,Baywatch
A_1364,Bad Moms,B_0820,Bad Moms
A_1366,The Layover,B_0301,The Layover
A_1375,The Man Who Invented Christmas,B_0053,The Man Who Invented Christmas
A_1377,A Futile and Stupid Gesture,B_0096,A Futile and Stupid Gesture
A_1379,Before I Fall,B_0506,Before I Fall
A_1384,The Invitation,B_1146,The Invitation
A_1389,Kidnap,B_0272,Kidnap
A_1393,"Hail, Caesar!",B_1050,"Hail, Caesar!"
A_1399,Inferno,B_0714,Inferno
A_1404,All I See Is You,B_0101,All I See Is You
A_1406,The Loft,B_1738,The Loft
A_1410,Secret in Their Eyes,B_1220,Secret in Their Eyes
A_1416,Transformers: Age of Extinction,B_2267,Transformers: Age of Extinction
A_1421,Okja,B_0467,Okja
A_1426,RoboCop,B_2506,RoboCop
A_1427,The 5th Wave,B_1118,The 5th Wave
A_1429,Lucy,B_2020,Lucy
A_1432,Snowpiercer,B_2201,Snowpiercer
A_1441,Godzilla,B_2292,Godzilla
A_1442,The Amazing Spider-Man 2,B_2348,The Amazing Spider-Man 2
A_1445,Silence,B_0641,Silence
A_1445,Silence,B_2731,Silence
A_1448,Last Knights,B_1703,Last Knights
A_1450,The Brothers Grimsby,B_1039,The Brothers Grimsby
A_1468,Legend,B_1221,Legend
A_1470,A Dog's Purpose,B_0562,A Dog's Purpose
A_1482,Alice Through the Looking Glass,B_0837,Alice Through the Looking Glass
A_1483,Wonder Woman,B_0334,Wonder Woman
A_1484,Poltergeist,B_1489,Poltergeist
A_1485,Oculus,B_2400,Oculus
A_1488,Creep,B_1150,Creep
A_1490,Mayhem,B_0151,Mayhem
A_1494,Vampire Academy,B_2548,Vampire Academy
A_1497,Unfriended,B_1603,Unfriended
A_1499,Only Lovers Left Alive,B_2355,Only Lovers Left Alive
A_1508,Rings,B_0553,Rings
A_1514,Leviathan,B_1744,Leviathan
A_1518,Creep 2,B_0297,Creep 2
A_1520,Tusk,B_2094,Tusk
A_1521,Ouija: Origin of Evil,B_0720,Ouija: Origin of Evil
A_1522,31,B_0762,31
A_1525,Annabelle,B_2032,Annabelle
A_1527,Flatliners,B_0155,Flatliners
A_1530,Cabin Fever,B_1267,Cabin Fever
A_1537,Alvin and the Chipmunks: The Road Chip,B_1184,Alvin and the Chipmunks: The Road Chip
A_1550,Cloudy with a Chance of Meatballs 2,B_2796,Cloudy with a Chance of Meatballs 2
A_1563,Rio 2,B_2446,Rio 2
A_1573,Teenage Mutant Ninja Turtles,B_2071,Teenage Mutant Ninja Turtles
A_1581,Justice League Dark,B_0704,Justice League Dark
A_1585,"Roman J. Israel, Esq.",B_0085,"Roman J. Israel, Esq."
A_1591,Mudbound,B_0252,Mudbound
A_1592,Victoria,B_1200,Victoria
A_1594,Moonlight,B_0669,Moonlight
A_1595,Wonder Wheel,B_0012,Wonder Wheel
A_1596,Love,B_1199,Love
A_1597,Hacksaw Ridge,B_0657,Hacksaw Ridge
A_1599,Shot Caller,B_0290,Shot Caller
A_1600,Inconceivable,B_0384,Inconceivable
A_1603,The Beguiled,B_0313,The Beguiled
A_1606,Legend,B_1221,Legend
A_1607,The Accountant,B_0756,The Accountant
A_1608,Point Break,B_1145,Point Break
A_1610,Central Intelligence,B_0867,Central Intelligence
A_1615,Allied,B_0666,Allied
A_1619,Mother's Day,B_0978,Mother's Day
A_1621,Irreplaceable You,B_0094,Irreplaceable You
A_1629,Why Him?,B_0625,Why Him?
A_1633,Home Again,B_0189,Home Again
A_1639,Captain Fantastic,B_0848,Captain Fantastic
A_1641,Going in Style,B_0438,Going in Style
A_1646,Blended,B_2374,Blended
A_1647,Unlocked,B_0379,Unlocked
A_1648,Predestination,B_1966,Predestination
A_1650,Enemy,B_2495,Enemy
A_1652,Criminal,B_0962,Criminal
A_1654,Oldboy,B_2736,Oldboy
A_1657,The Guest,B_2057,The Guest
A_1682,Small Town Crime,B_0011,Small Town Crime
A_1693,The World's End,B_2918,The World's End
A_1696,Teenage Mutant Ninja Turtles: Out of the Shadows,B_0901,Teenage Mutant Ninja Turtles: Out of the Shadows
A_1700,Elysium,B_2884,Elysium
A_1708,Under the Skin,B_2429,Under the Skin
A_1713,The Wolverine,B_2920,The Wolverine
A_1726,Mike and Dave Need Wedding Dates,B_0868,Mike and Dave Need Wedding Dates
A_1729,Swiss Army Man,B_0879,Swiss Army Man
A_1731,The Secret Life of Walter Mitty,B_2635,The Secret Life Of Walter Mitty
A_1734,The BFG,B_0779,The BFG
A_1741,Exodus: Gods and Kings,B_1893,Exodus: Gods and Kings
A_1743,Percy Jackson: Sea of Monsters,B_2888,Percy Jackson: Sea of Monsters
A_1757,Amityville: The Awakening,B_0236,Amityville: The Awakening
A_1759,Most Beautiful Island,B_0288,Most Beautiful Island
A_1761,The Purge: Anarchy,B_2205,The Purge: Anarchy
A_1771,The Bye Bye Man,B_0563,The Bye Bye Man
A_1772,Outcast,B_1881,Outcast
A_1773,Wish Upon,B_0315,Wish Upon
A_1789,Berlin Syndrome,B_0487,Berlin Syndrome
A_1796,Incarnate,B_0664,Incarnate
A_1809,Batman and Harley Quinn,B_0386,Batman and Harley Quinn
A_1810,Batman: The Killing Joke,B_0951,Batman: The Killing Joke
A_1813,Ratchet & Clank,B_0932,Ratchet & Clank
A_1831,The Peanuts Movie,B_1181,The Peanuts Movie
